"","Prefix","ConceptScheme","URI","Title","Languages"
"53","PRODCOM 2024","prodcom2024","http://data.europa.eu/qw1/prodcom2024/prodcom2024","PRODCOM List 2024","bg, cs, da, de, el, en, es, et, fi, fr, ga, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"54","PRODCOM 2025","prodcom2025","http://data.europa.eu/qw1/prodcom2025/prodcom2025","PRODCOM List 2025","en"
"55","PRODCOM PRODTYPE","prodtype","http://data.europa.eu/gzn/prodtypes/prodtype","Production type","de, en, fr"
"56","STAT_ACRO_ABBR","scheme","http://data.europa.eu/83i/aa/scheme","Statistical abbreviations and acronyms","en"
"57","SU","SU","http://data.europa.eu/gzn/su/SU","Supplementary Units","bg, cs, da, de, el, en, es, et, fi, fr, ga, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"58","Tercet","tercet","http://data.europa.eu/q8e/tercet/tercet","territorial typologies (Tercet)","en"
"59","Tercet DEGURBA","degurba","http://data.europa.eu/q8e/tercet/degurba","degree of urbanisation (DEGURBA)","en"
"60","Tercet border","border","http://data.europa.eu/q8e/tercet/border","border typology","en"
"61","Tercet coastal areas","coastalArea","http://data.europa.eu/q8e/tercet/coastalArea","coastal areas typology","en"
"62","Tercet coastal regions","coastalRegion","http://data.europa.eu/q8e/tercet/coastalRegion","coastal regions typology","en"
"63","Tercet island","island","http://data.europa.eu/q8e/tercet/island","island typology","en"
"64","Tercet metropolitan","metro","http://data.europa.eu/q8e/tercet/metro","metropolitan typology","en"
"65","Tercet mountain","mountain","http://data.europa.eu/q8e/tercet/mountain","mountain typology","en"
"66","Tercet urban-rural","urbanRural","http://data.europa.eu/q8e/tercet/urbanRural","urban-rural typology","en"
"67","Waste","scheme","http://data.europa.eu/6p8/waste/scheme","Waste categories","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"68","cc","cc","http://data.europa.eu/4j8/geonom/cc","GEONOM Country codes","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
"69","mc","mc","http://data.europa.eu/4j8/geonom/mc","GEONOM Miscellaneous codes","bg, cs, da, de, el, en, es, et, fi, fr, hr, hu, it, lt, lv, mt, nl, pl, pt, ro, sk, sl, sv"
